Rk,Tkl-Tack,TklW-Tack,Def3rd-Tack,Mid3rd-Tack,Att3rd-Tack,Tkl-Chal,Att-Chal,Tkl%-Chal,Lost-Chal,Blocks-Bloc,Sh-Tack-Bloc,Pass-Tack-Bloc,Int,Tkl+Int,Clr,Err
2064,36,23,8,19,9,16,47,34,31,18,2,16,6,42,8,0
2065,15,12,2,8,5,4,18,22.2,14,23,5,18,8,23,18,1
2066,58,30,38,14,6,26,57,45.6,31,25,7,18,25,83,92,2
2067,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
2068,45,29,33,11,1,32,46,69.6,14,28,10,18,29,74,58,0
2069,1,1,0,1,0,0,4,0,4,0,0,0,0,1,5,0
2070,2,2,0,1,1,0,1,0,1,0,0,0,0,2,1,0
2071,35,14,10,17,8,16,60,26.7,44,29,1,28,27,62,20,0
2072,23,10,13,5,5,12,19,63.2,7,9,1,8,5,28,23,0
2073,9,5,4,3,2,1,10,10,9,13,2,11,6,15,7,0
2074,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0
2075,20,8,8,10,2,10,29,34.5,19,12,3,9,16,36,24,0
2076,2,0,1,1,0,2,6,33.3,4,1,0,1,5,7,2,0
2077,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2078,8,5,3,5,0,3,9,33.3,6,9,1,8,8,16,2,0
2079,4,2,1,3,0,1,8,12.5,7,7,0,7,3,7,8,0
2080,19,9,7,9,3,6,20,30,14,15,1,14,9,28,4,0
2081,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2082,1,1,1,0,0,1,1,100,0,0,0,0,0,1,1,0
2083,33,17,10,20,3,14,28,50,14,19,10,9,37,70,29,1
2084,21,7,10,7,4,8,30,26.7,22,18,7,11,21,42,22,0
2085,37,20,19,13,5,21,40,52.5,19,13,1,12,17,54,39,0
2086,13,5,7,4,2,5,18,27.8,13,12,1,11,1,14,8,0
2087,65,35,33,25,7,36,52,69.2,16,26,12,14,43,108,64,1
2088,27,18,8,16,3,13,25,52,12,8,4,4,8,35,11,0
2089,18,12,7,6,5,7,23,30.4,16,26,5,21,12,30,11,0
2090,4,2,0,3,1,0,13,0,13,11,1,10,2,6,5,0
2091,8,3,3,1,4,3,12,25,9,10,0,10,2,10,2,0
2092,3,2,2,1,0,2,4,50,2,1,0,1,0,3,3,0
2093,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
2094,8,6,1,3,4,0,10,0,10,6,1,5,3,11,4,0
2095,4,1,2,1,1,3,10,30,7,2,0,2,3,7,4,0
2096,3,3,2,1,0,0,10,0,10,3,1,2,0,3,1,0
2097,44,21,21,21,2,16,25,64,9,27,9,18,21,65,47,0
2098,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
2099,38,22,18,11,9,28,50,56,22,39,7,32,47,85,42,0
2100,,0,,,,,,,,,,,0,,,
2101,11,5,7,1,3,4,13,30.8,9,1,0,1,2,13,6,0
2102,34,22,18,14,2,16,29,55.2,13,24,6,18,17,51,42,0
2103,43,32,24,17,2,26,45,57.8,19,28,11,17,42,85,67,0
2104,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2105,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
2106,27,14,10,11,6,14,33,42.4,19,22,3,19,13,40,7,0
2107,3,3,0,3,0,1,4,25,3,1,0,1,0,3,5,0
2108,5,3,2,3,0,1,13,7.7,12,7,0,7,2,7,17,0
