,Tota,Tota,Tota,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,,,,,,,,,
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
21,114,152,75,1530,229,67,81,82.7,34,45,75.6,6,7,85.7,0,0.6,0.2,-0.6,6,4,4,1,7,Matches
22,547,792,69.1,9008,4537,279,349,79.9,216,294,73.5,44,110,40,1,0.7,0.7,+0.3,14,51,20,12,57,Matches
23,62,82,75.6,1721,1232,11,11,100,34,34,100,17,37,45.9,0,0,0,0,0,1,0,0,0,Matches
24,836,996,83.9,15009,4513,371,417,89,328,377,87,112,141,79.4,0,0.7,0.6,-0.7,13,86,8,0,116,Matches
25,280,389,72,3788,1163,165,211,78.2,90,108,83.3,7,20,35,1,0.9,0.7,+0.1,10,33,11,1,46,Matches
26,1959,2204,88.9,40414,15329,613,660,92.9,1050,1106,94.9,277,398,69.6,2,0.3,0.3,+1.7,4,118,2,0,101,Matches
27,30,42,71.4,396,45,14,20,70,12,15,80,0,0,,0,0.1,0.2,-0.1,1,3,0,0,3,Matches
28,1435,1728,83,23194,8766,745,806,92.4,559,658,85,93,178,52.2,2,0.9,2.9,+1.1,12,124,32,5,157,Matches
29,3,3,100,35,0,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
30,28,32,87.5,501,62,14,15,93.3,10,11,90.9,4,6,66.7,0,0,0,0,0,1,0,0,3,Matches
31,766,858,89.3,14146,4562,310,333,93.1,353,381,92.7,89,120,74.2,1,0.9,0.4,+0.1,11,39,5,1,63,Matches
32,339,412,82.3,5149,1077,164,191,85.9,131,147,89.1,21,37,56.8,1,0.8,1,+0.2,6,23,9,1,38,Matches
33,1270,1567,81,26020,8332,359,420,85.5,740,830,89.2,159,278,57.2,0,0.3,0.5,-0.3,6,101,5,1,110,Matches
34,535,755,70.9,8693,3540,272,316,86.1,202,280,72.1,44,93,47.3,0,1.8,1.4,-1.8,16,43,20,4,68,Matches
35,763,1025,74.4,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,2,1.6,1.1,+0.4,17,28,14,10,49,Matches
36,627,892,70.3,10133,4740,303,372,81.5,255,342,74.6,47,105,44.8,3,1.7,1.8,+1.3,8,41,13,2,82,Matches
37,653,906,72.1,9171,1389,386,506,76.3,172,239,72,43,61,70.5,8,7,4,+1.0,46,30,23,4,69,Matches
38,1819,2013,90.4,36320,13836,585,629,93,973,1018,95.6,235,314,74.8,0,0.1,0.7,-0.1,2,122,2,0,115,Matches
39,611,832,73.4,10222,3920,291,341,85.3,246,322,76.4,52,109,47.7,0,0.3,1.1,-0.3,7,38,14,11,51,Matches
40,12,16,75,184,58,7,8,87.5,1,2,50,2,2,100,0,0,0,0,0,2,1,1,1,Matches
41,796,878,90.7,13200,4534,373,399,93.5,384,416,92.3,29,42,69,0,0.6,0.5,-0.6,2,63,3,0,57,Matches
42,45,55,81.8,581,186,29,32,90.6,13,15,86.7,1,2,50,0,0.6,0.8,-0.6,4,4,7,2,11,Matches
43,20,22,90.9,254,86,15,15,100,4,6,66.7,1,1,100,0,0,0.1,0,1,3,3,0,5,Matches
44,284,325,87.4,4724,1363,142,156,91,121,136,89,17,24,70.8,0,0.1,0.3,-0.1,3,32,2,1,30,Matches
45,89,106,84,1077,154,61,68,89.7,24,25,96,1,1,100,0,0,0.1,0,2,6,1,0,3,Matches
