,SCA,SCA,SCA,SCA,SCA,SCA,SCA,SCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA
Rk,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
292,21,3.35,15,1,2,1,2,0,3,0.48,1,0,1,0,1,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,10,1.98,5,4,1,0,0,0,2,0.4,1,1,0,0,0,0
295,62,3.78,40,5,6,8,3,0,4,0.24,3,0,0,1,0,0
296,1,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,10,0.94,10,0,0,0,0,0,1,0.09,1,0,0,0,0,0
299,2,0.22,2,0,0,0,0,0,1,0.11,1,0,0,0,0,0
300,89,4.63,45,33,5,5,1,0,9,0.47,3,5,0,1,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2,0.53,2,0,0,0,0,0,0,0,0,0,0,0,0,0
303,26,3.05,25,0,0,1,0,0,4,0.47,4,0,0,0,0,0
304,49,2.03,31,0,7,9,2,0,3,0.12,1,0,0,2,0,0
305,24,1.67,18,1,0,1,2,2,1,0.07,1,0,0,0,0,0
306,4,2.02,3,0,0,0,1,0,0,0,0,0,0,0,0,0
307,45,1.77,34,1,0,5,4,1,3,0.12,2,1,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,12,0.7,9,0,0,1,2,0,1,0.06,1,0,0,0,0,0
311,28,2.11,21,0,1,3,1,2,7,0.53,5,0,0,2,0,0
312,4,0.37,3,0,0,0,0,1,0,0,0,0,0,0,0,0
313,1,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
314,126,3.59,64,55,0,6,1,0,8,0.23,5,3,0,0,0,0
315,5,0.48,4,0,0,0,1,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,31,1.32,24,0,4,1,0,2,4,0.17,3,0,0,0,0,1
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,1,2.9,1,0,0,0,0,0,1,2.9,1,0,0,0,0,0
322,107,3.25,77,2,7,11,8,2,17,0.52,12,0,2,1,2,0
323,19,4.94,13,5,1,0,0,0,0,0,0,0,0,0,0,0
324,22,2.07,16,0,3,0,3,0,5,0.47,3,0,1,0,1,0
325,23,1.28,20,1,0,2,0,0,3,0.17,3,0,0,0,0,0
326,19,2.46,16,0,0,1,2,0,0,0,0,0,0,0,0,0
327,2,4.74,2,0,0,0,0,0,0,0,0,0,0,0,0,0
328,15,1.78,8,1,2,0,4,0,1,0.12,0,0,1,0,0,0
329,62,3.1,41,14,1,2,3,1,6,0.3,4,1,0,1,0,0
330,51,6.01,32,6,6,3,2,2,0,0,0,0,0,0,0,0
331,24,3.22,16,0,5,1,2,0,4,0.54,2,0,1,0,1,0
332,1,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
333,25,3.22,15,7,2,0,1,0,1,0.13,0,1,0,0,0,0
334,27,2.54,17,6,0,1,3,0,2,0.19,2,0,0,0,0,0
335,1,2.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0
336,3,0.3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
337,83,3.3,69,1,3,5,5,0,13,0.52,9,0,0,2,2,0
338,41,1.98,26,0,1,6,6,2,1,0.05,1,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,12,0.89,9,0,1,2,0,0,2,0.15,1,0,0,1,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,18,0.81,17,0,0,1,0,0,2,0.09,2,0,0,0,0,0
343,5,0.22,5,0,0,0,0,0,1,0.04,1,0,0,0,0,0
344,66,2.5,46,0,6,8,6,0,9,0.34,6,0,2,1,0,0
345,18,0.72,16,1,1,0,0,0,2,0.08,1,1,0,0,0,0
346,87,3.21,49,7,17,8,3,3,12,0.44,5,3,1,2,0,1
347,32,1.78,27,0,0,2,3,0,4,0.22,4,0,0,0,0,0
348,96,3.84,75,13,4,2,2,0,6,0.24,4,0,1,1,0,0
349,137,5.29,61,31,21,7,13,4,15,0.58,7,1,1,2,4,0
350,46,2.71,31,13,0,1,0,1,2,0.12,0,2,0,0,0,0
351,4,0.13,3,1,0,0,0,0,2,0.06,1,1,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,5,1.61,3,0,2,0,0,0,2,0.64,0,0,2,0,0,0
354,176,4.96,97,71,1,4,1,2,18,0.51,14,4,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,98,2.96,56,16,11,9,5,1,19,0.57,9,3,3,1,3,0
358,9,0.43,6,0,1,1,1,0,2,0.09,1,0,0,0,1,0
359,47,2.47,29,0,9,3,3,3,9,0.47,4,0,3,0,0,2
360,10,2.16,8,2,0,0,0,0,0,0,0,0,0,0,0,0
