,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Expe,Expe,Expe,Expe,Expe
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2072,0,6,1,16.7,0.49,0.08,0,0,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
2073,0,7,2,28.6,0.94,0.27,0,0,12.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5
2074,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2075,1,18,4,22.2,1.15,0.25,0.06,0.25,15.9,0,0,0,0.9,0.9,0.05,+0.1,+0.1
2076,0,3,2,66.7,2.05,1.36,0,0,12.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
2077,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2078,1,23,7,30.4,2.97,0.91,0.04,0.14,15.1,3,0,0,2.6,2.6,0.11,-1.6,-1.6
2079,0,8,4,50,1.51,0.75,0,0,12,0,0,0,0.8,0.8,0.11,-0.8,-0.8
2080,0,17,3,17.6,1.97,0.35,0,0,21.6,1,0,0,0.9,0.9,0.05,-0.9,-0.9
2081,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2082,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2083,5,19,8,42.1,0.84,0.35,0.26,0.63,10.7,0,0,0,3.2,3.2,0.17,+1.8,+1.8
2084,4,19,6,31.6,1.64,0.52,0.21,0.67,19.8,2,0,0,2.6,2.6,0.14,+1.4,+1.4
2085,1,10,2,20,0.91,0.18,0.1,0.5,16.6,0,0,0,0.7,0.7,0.07,+0.3,+0.3
2086,4,21,9,42.9,1.94,0.83,0.19,0.44,21.6,0,0,0,1.3,1.3,0.06,+2.7,+2.7
2087,0,3,0,0,0.1,0,0,,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2088,0,5,0,0,0.77,0,0,,18.3,0,0,0,0.8,0.8,0.17,-0.8,-0.8
2089,3,28,6,21.4,1.4,0.3,0.07,0.33,17.2,1,1,2,4.7,3.1,0.11,-1.7,-1.1
2090,2,11,6,54.5,2.22,1.21,0.18,0.33,15.3,0,0,0,1.6,1.6,0.15,+0.4,+0.4
2091,1,27,8,29.6,4.39,1.3,0.04,0.13,21.8,1,0,0,1.5,1.5,0.06,-0.5,-0.5
2092,1,4,1,25,1.07,0.27,0.25,1,25.6,1,0,0,0.1,0.1,0.03,+0.9,+0.9
2093,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2094,2,10,5,50,1.73,0.87,0.2,0.4,21.7,0,0,0,1,1,0.1,+1.0,+1.0
2095,2,14,5,35.7,1,0.36,0.14,0.4,15.1,0,0,0,2.2,2.2,0.16,-0.2,-0.2
2096,3,15,5,33.3,1.27,0.42,0.2,0.6,15.1,3,0,0,3.3,3.3,0.22,-0.3,-0.3
2097,0,10,1,10,0.53,0.05,0,0,10.5,0,0,0,1.1,1.1,0.12,-1.1,-1.1
2098,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2099,8,43,16,37.2,1.37,0.51,0.16,0.44,15.7,0,1,1,4.3,3.5,0.08,+3.7,+3.5
2100,0,0,0,,0,0,,,,,0,0,,,,,
2101,0,9,2,22.2,2.82,0.63,0,0,17.7,1,0,1,1.4,0.6,0.07,-1.4,-0.6
2102,0,19,3,15.8,1.05,0.17,0,0,20.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5
2103,1,9,3,33.3,0.32,0.11,0.11,0.33,15.2,0,0,0,0.4,0.4,0.04,+0.6,+0.6
2104,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2105,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2106,1,28,9,32.1,1.75,0.56,0.04,0.11,16.3,0,0,0,2.4,2.4,0.09,-1.4,-1.4
2107,3,13,6,46.2,2,0.92,0.23,0.5,13.7,0,0,0,1.6,1.6,0.13,+1.4,+1.4
2108,5,14,5,35.7,2.17,0.78,0.36,1,13,0,0,0,2.5,2.5,0.18,+2.5,+2.5
2109,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2110,1,5,3,60,0.25,0.15,0.2,0.33,9.8,0,0,0,0.5,0.5,0.11,+0.5,+0.5
2111,0,8,2,25,0.78,0.2,0,0,19.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7
2112,2,19,10,52.6,1.64,0.87,0.11,0.2,15.9,0,0,0,2,2,0.11,0,0
2113,0,2,1,50,0.44,0.22,0,0,18,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2114,1,19,6,31.6,0.86,0.27,0.05,0.17,12.5,0,0,0,1.3,1.3,0.07,-0.3,-0.3
2115,0,9,1,11.1,0.76,0.08,0,0,16.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
2116,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2117,1,15,1,6.7,1.4,0.09,0.07,1,22.2,2,0,0,1.2,1.2,0.08,-0.2,-0.2
2118,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2119,0,15,3,20,0.85,0.17,0,0,24,1,0,0,0.7,0.7,0.04,-0.7,-0.7
2120,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2121,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2122,3,22,7,31.8,2.7,0.86,0.14,0.43,13.8,0,0,1,3.6,2.8,0.13,-0.6,+0.2
2123,1,12,5,41.7,3.11,1.3,0.08,0.2,14.9,0,0,0,1.8,1.8,0.15,-0.8,-0.8
2124,0,4,2,50,1.15,0.58,0,0,27.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2125,1,3,1,33.3,0.84,0.28,0.33,1,16.1,0,0,0,0.2,0.2,0.05,+0.8,+0.8
2126,0,2,0,0,0.83,0,0,,6.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
2127,1,5,3,60,2.3,1.38,0.2,0.33,12.3,0,0,0,0.8,0.8,0.17,+0.2,+0.2
2128,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2129,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2130,0,14,2,14.3,0.53,0.08,0,0,16,0,0,0,0.8,0.8,0.06,-0.8,-0.8
2131,0,5,2,40,0.18,0.07,0,0,17.7,0,0,0,0.6,0.6,0.11,-0.6,-0.6
2132,0,7,0,0,0.86,0,0,,24.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
2133,0,5,1,20,0.31,0.06,0,0,23.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
2134,13,86,23,26.7,2.7,0.72,0.1,0.39,15.7,1,4,4,12.7,9.5,0.11,+0.3,-0.5
2135,0,5,1,20,4.55,0.91,0,0,19.4,0,0,0,0.5,0.5,0.11,-0.5,-0.5
2136,1,16,8,50,0.53,0.27,0.06,0.13,10,0,0,0,1.2,1.2,0.07,-0.2,-0.2
2137,6,27,15,55.6,1.45,0.8,0.22,0.4,11.3,0,0,0,5.5,5.5,0.2,+0.5,+0.5
2138,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2139,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2140,1,19,2,10.5,0.82,0.09,0.05,0.5,13.3,1,0,0,1.6,1.6,0.09,-0.6,-0.6
2141,3,21,11,52.4,1.64,0.86,0.14,0.27,17.1,0,0,0,2,2,0.09,+1.0,+1.0
